number,href,title,ingredients,preparation
1050,https://simple-veganista.com/cashew-sweet-crea/,CASHEW SWEET CREAM,"1 cup raw cashews, preferably soaked 2 to 3 hours | 4 - 5 medjool dates | 2 teaspoons vanilla extract | 3/4 - 1 + 1/4 cup water (185 - 310ml)","Blend: | Combine all ingredients, start with only 3/4 cup water, and blend until creamy smooth, stopping every now and then to scrape down the sides. | Add additional water 1 or 2 tablespoons at a time until desired consistency. If you find you added too much water, add a few more cashews and blend. | Taste for flavour, adding an extra date or two for added sweetness if desired. | Store: Leftover cashew cream can be kept in an airtight container in the fridge for up to 5 days. Sweet cream will thicken when chilled. Keep in the freezer for 2 - 3 months, let thaw before using. | Makes anywhere from 1 1/2 cups and up, depending on how much water you use."
1290,https://simple-veganista.com/sweet-zen-popcorn/,HEALTHY GREEN MATCHA POPCORN,"3 tablespoons coconut oil | 1/2 cup popcorn kernels | 2 tablespoon matcha | 1 - 2 Tazo Zen tea bags, optional (affiliate link) | 1 tablespoons coconut sugar (or organic pure cane)","Matcha seasoning: In a small bowl, whisk together the matcha, sugar, and tea from the tea bags. Set aside. | Stock pot: | In a large stock pot, heat oil over medium high to high heat. Once the oil has melted, add popcorn kernels, swirl the pot to coat the kernels. | Cover, shake every 10 seconds or so to move the kernels around. You want to move them around so they don't burn on the bottom. You should hear continual popping about 3 minutes in, at this time you can stop shaking, listen for the slow down of popping. | Turn heat off, uncover, add seasoning, cover and carefully shake the pot every which way to coat your popcorn. Lift lid, if you have a lot of seasoning on the lid and sides of the pot, use a flat edge spatula to scrape it off and mix it in. | Popcorn maker: | Add popcorn, cook as directed and move to a large bowl. | In a small bowl, melt coconut oil. | Once popcorn is done, drizzle with oil and top with seasoning, toss to coat well. | Serve warm or at room temperature. | Makes about 12 to 14 cups. | Store: Leftovers can be stored in airtight containers for 7 - 14 days."
1330,https://simple-veganista.com/coconut-almond-macaroons/,VEGAN COCONUT MACAROONS,"3 cups unsweetened coconut flakes, finely shredded (see notes) | 1 cup canned coconut milk or cream, full or low-fat | 1/3 cup pure maple syrup | 1/3 cup slivered almonds (chopped is ok too), optional | 1/3 cup oat flour, coconut flour, all-purpose, or gluten-free flour blend* | 2 teaspoons vanilla extract | pinch of mineral salt | 7 oz. vegan dark chocolate bar or chocolate chips","Preheat oven to 350 degrees F. Line a baking sheet with parchment paper or a silpat. | Mix: In a medium size mixing bowl, combine the coconut, coconut milk, syrup, almonds, flour, vanilla and salt, mix well. | Scoop: Using a 2 or 3 tablespoon measuring spoon, scoop out rounded tablespoons, making sure to pack it well**. This last part is very important, or your macaroons may tend to fall apart. Place packed mounds on cookie sheet, about 1 inch apart. | Bake: Place cookie sheet in the oven and bake for 20 - 30 minutes (ovens vary and it depends on how big the mounds are), until golden, rotating sheet half through baking. Let cool completely. | Chocolate: Warm the chocolate on the stove over low heat, stirring frequently until melted. Alternately, you can melt the chocolate in the microwave, stopping to give a good stir every 30 seconds. Dip the bottoms of the macaroons into the melted chocolate. Place the cookies back on the lined baking sheet. Drizzle remaining chocolate on top using a spoon or pastry piping bag. Refrigerate for 7 - 10 minutes, or until set. | Makes about 24 two tablespoon cookies, 18 three tablespoon cookies, or 12 four tablespoon coconut macaroons. | Store: Keep macaroons covered or in an airtight container, will last for up to 4 - 5 days on the counter. To keep fresher longer, store in an airtight container in the refrigerator."
1350,https://simple-veganista.com/rustic-apple-pear-crisp/,HEALTHY APPLE & PEAR CRISP,"3 medium apples, cored and chopped (peel if you prefer) | 3 medium pears, cored and chopped (peel if you prefer) | 3 tablespoons fresh lemon juice | 1 tablespoon sugar (coconut or organic pure cane) | 1 heaping teaspoon cinnamon | Topping | 1 3/4 cup old fashioned oats | 1/4 cup almond meal or flaxseed meal, optional | 1 cup finely chopped walnuts, optional | 1/2 cup pure maple syrup | 3 - 4 tablespoons coconut oil (at room temp) | 1 teaspoon vanilla extract | 1/4 teaspoon mineral salt | cinnamon, to garnish","Preheat oven to 350 degrees F. | Wash apples well. Slice, core and dice apples and pears. | In a large bowl (or right in your baking dish), combine apples, pears, lemon juice, sugar and cinnamon. Mix well and layer into a 9 x 9 baking dish. | In a medium size bowl, combine oats, almond meal, walnuts, maple syrup, coconut oil, vanilla and salt, mix well. Spread oat mixture evenly over the apples and sprinkle with a little cinnamon. | Bake for 35 - 40 minutes, or until apples and pears are fork tender. Let cool 5 - 10 minutes before serving. | Serves 6 generously"
1380,https://simple-veganista.com/banana-cherry-garcia-soft-serve/,CHERRY GARCIA NICE CREAM (SOFT SERVE),"2 frozen bananas, cut into 1 inch chunks | 1 1/2 cups cherries, pitted and frozen (divided) | splash of unsweetened plant milk (plain or vanilla) or Vegan Cream | 1 teaspoon vanilla, optional | scant 1/4 cup dark chocolate chunks (70% +), cacao nibs or raw chocolate chips","Place banana chunks, 1 cup cherries, and a splash of milk into blender/food processor and blend until just combined, stopping to scrape down the sides as needed. Add another splash of milk to help the mixture move (especially if using a blender). | Add in chocolate and remaining 1/2 cup cherries, pulse until just combined. | Serve immediately as a soft serve or freeze for later and serve as hard ice cream. To freeze, place the ice cream into a sealed container and freeze for at least six hours. It will last for up to 2 months. Before serving, let sit at room temp for a few minutes, scoop and serve. | Makes about 2 cups. | Serves 4 small portions or 2 generously."
51,https://veganuary.com/recipes/peanut-butter-bookie-dough-balls/,Peanut Butter Cookie Dough Balls,For the batter: | ? cup organic peanut butter | 3 tbsp agave syrup or maple syrup | 2 tbsp coconut flour | ? teaspoon finely ground sea salt (to taste) | 5 tbsp cacao nibs (or you can use rice crispies like in the original recipe) | For the coating: | 3 tbsp coconut oil | 3 tbsp cacao powder | 3 tbsp agave | Cacao nibs for aesthetic factor (optional),"Makes approximately 10 balls | In a bowl mix together the peanut butter with the agave/maple syrup vigorously for 60 seconds. In this time the peanut butter should turn from quite runny to a thick consistency. The more you stir the thicker it will get. | Add in the coconut flour a little bit at a time, stirring again vigorously until you've got yourself a thick batter. | Warning: quite a bit of muscle is required for this step, if you're anything like me you may need a break in between the mixing! | Add the sea salt and cacao nibs and stir until well combined. | By now the mixture should stick together quite nicely and easily be rolled into a ball. | Take small spoon sized pieces from the batter, roll into individual balls and place on a tray lined with parchment paper. You should get around 10 from this mixture if you managed to refrain from ?sampling? the batter. | Once they're all rolled out pop in the freezer while you prepare your chocolate mixture. | In a saucepan over a very low heat melt down your coconut oil and stir in the agave and cacao, making sure they're mixed well, then set off the heat allowing to cool to room temperature. | With a fork, dip the balls into the melted chocolate. Tap off excess chocolate on the side of the pot and repeat for the rest. (Save the leftover melted chocolate for a second layer.) | For added texture, roll the balls in cacao nibs then place on a plate or cutting board lined with parchment paper. | Place back in the freezer to harden for approx. 10 minutes, then repeat the chocolate dipping step to get a nice thick chocolate coating. | Place back in the freezer for another 10 minutes or until the chocolate layer is hard. | Serve and enjoy!"
101,https://veganuary.com/recipes/power-packed-horlicks-vegan-energy-balls/,Power-packed Horlicks Vegan Energy Balls,100g dried apricots | 100g dates | 100g pecan nuts | 50ml coconut milk? | 25g Horlicks Vegan | 25g coconut oil | 15g sunflower seeds | 10g poppy seeds | 15g crushed pecan nuts | 10g desiccated coconut | Pinch of ground turmeric | Pinch of ground cinnamon?,"Blitz apricots, dates, pecan nuts, turmeric, cinnamon in a food processor until finely chopped. | Add the Horlicks Vegan, coconut milk and melted coconut oil and blend until it comes together. | Shape the mix into walnut-sized balls, roll some of the balls in chopped sunflower seeds, some in poppy seeds, some in crushed pecan nuts and some in desiccated coconut. | Store in an airtight container until you need an energy uplift!"
201,https://veganuary.com/recipes/lemon-shortbread/,Lemon Shortbread,100g dairy free margarine - ideally Pure Sunflower Spread | 50g golden caster sugar | The zest of 1 lemon | 150g plain gluten-free flour | 50g ground rice | 2 tbsp Demerara sugar,"Preheat the oven to 190c (170c Fan) and line a baking sheet with greaseproof paper. Cream together the margarine and sugar until light and fluffy. Stir in the lemon zest. Then add the flour and ground rice and stir together until clumpy. | Using your hands, begin to knead the biscuit dough until combined and smooth. Transfer to a smooth worktop or wooden board and then roll the biscuit dough into a thick sausage shape approximately 18cm/7 inches long. | Sprinkle the worktop or board with the demerara sugar and then roll the biscuit dough in it until well coated. Cut into 15 rounds (they will be about 1cm thick) and then lay them flat on the baking tray. Bake in the oven for 18-20 minutes or until golden. Remove from the oven and transfer to a wire rack to cool before serving."
261,https://veganuary.com/recipes/peanut-butter-hot-chocolate/,Peanut Butter Hot Chocolate,200ml grape sweetened or unsweetened almond milk | 20g/4 small squares of vegan dark chocolate from a bar | 1 tablespoon of unsweetened peanut butter (I used crunchy),"In a small pan or a bowl in the microwave, gently melt together the peanut butter and chocolate then very gradually add the milk (preferably warmed) and mix until combined and steaming hot. | Pour into your favourite mug and enjoy. | * Do not just add all the cold milk to the melted chocolate as this will cause the chocolate to solidify, leaving you with floating little lumps of chocolate and not a smooth, rich, creamy hot chocolate."
271,https://veganuary.com/recipes/nakd-cashew-cookie-dough-ice-cream/,Nakd Cashew Cookie Dough Ice Cream,"720ml / 3 cups coconut milk | 2 tbsp arrowroot powder | 120ml / ? cup maple syrup | 1 tbsp vanilla extract | 2 Nakd Cashew Cookie Bars, cut into 1cm chunks | 2 Nakd Cocoa Delight Bars, cut into small chips","Serves: 8 | Preparation time: 15 minutes, plus overnight chilling & 20 minutes churning | Mix 60ml / ? cup coconut milk with the arrowroot powder in a small bowl and set aside. | Pour the rest of the coconut milk and maple syrup into a large saucepan and bring to a boil. As soon as the mixture begins to boil, stir in the arrowroot mixture to thicken the liquid. Remove from the heat and stir in the vanilla. | Chill the mixture in the fridge until cold and churn. During the last few minutes of churning, add in the cashew cookie chunks and cocoa delight chips. | Transfer the ice cream to a freezer-safe container and freeze for at least 3 hours or overnight."
291,https://veganuary.com/recipes/tofu-blueberry-layered-dessert/,Blueberries and Cream Layer Dessert,"Tofu cream: | 1 pack silken tofu | 1/3 cup rice syrup | 1 Tbsp olive, sunflower or safflower oil | 1 Tbsp soymilk | 1 ? tsp vanilla extract | 1 tsp lemon juice | Blueberry sauce: | 4 cups fresh blueberries (use frozen if not in season) | 1/3 cup rice syrup | 1 Tbsp lemon juice | 2 Tbsp kuzu (gluten free starch)","Allow two hours for chilling both the Tofu Cream and the Blueberry Sauce. | Tofu Cream: | Whip all ingredients together in a blender until very smooth. Refrigerate at least two hours before serving. | Blueberry Sauce: | Set aside one cup of the blueberries for topping the dessert. | Place the remaining 3 cups of blueberries in a pot with the rice syrup and lemon juice. | Dissolve the kuzu in two tablespoons of water and add to the pot. | Bring to a boil and simmer on low heat for 4 minutes. | Stir in the kuzu and simmer until the mixture starts to thicken. | Transfer to a blender and blend to a cream. | Pour into a bowl and allow to cool. | Chill in the refrigerator for at least two hours. | Using pretty glasses and layer some blueberry sauce in the bottom and tofu cream on top. | Continue this process of layering until the glass is full, and then top with blueberries and toasted flaked almonds, or nuts of your choice."
641,https://veganuary.com/recipes/roscon-de-reyes-christmas-ring-cake/,"Roscon de Reyes, Christmas Ring Cake","300g Doves gluten free plain flour | 1 tsp baking powder | 1 tsp bicarbonate of soda | 1/2 tsp ground cardamom | 1/2 tsp ground cinnamon | 1/4 tsp salt | 150g coconut sugar | The juice and zest of 2 oranges | 120ml olive oil | 180ml water | 1 tsp vanilla essence | 4 thin slices of orange | 30g pecans, you can also use almonds or walnuts | 200g cashews, soaked in hot water for 30 minutes | 120ml plant milk | 2 tbsp agave syrup | 1/2 tsp vanilla essence | 25g glace cherries, halved","Heat your oven to 180c/360f/GM4. | In a large bowl mix the flour, raising agents, spices, salt and sugar. Make a well in the centre, add the juice and zest, oil, water and 1 tsp vanilla essence. Mix the wet ingredients with the dry ingredients. | If you do not have a ring shaped cake tin put a ramekin in the middle of a 20cm/8 inch cake tin. Pour the batter around the ramekin filling the cake tin. Bake for 25-30 minutes until the cake is cooked through. Remove from the tin. Allow the cake to cool completely before adding the frosting. | Turn the oven temperature down to 70c/160f/GM?. Cover a baking tray with baking paper, put the orange slices on the paper with the nuts. Bake for 45-60 minutes until the orange has dried out and the nuts are toasted. Finely chop the nuts. | To make the frosting drain the cashew nuts, blend the cashew nuts with the plant milk, agave and 1/2 tsp vanilla essence until completely smooth. The frosting needs to be completely smooth so that it is thick and will not slide off the cake. | Spoon the frosting onto the cake. Dress the cake with the orange slices, nuts and cherries."
801,https://veganuary.com/recipes/chocolate-blueberry-lovehearts/,Chocolate Blueberry Lovehearts,Chocolate ingredients: | 50g (1? oz) raw cocoa butter | 50g (1? oz) raw cocoa powder | 3 tablespoons raw coconut sugar | 1 teaspoon vanilla extract | Filling ingredients: | 70g (2?oz) fresh blueberries | 40g (1?oz) coconut butter | 1 medjool date (pitted),"You will need: A heart-shaped chocolate mould with 12 hearts. You can use any chocolate mould shape if you'd prefer a different shape. | You can also watch a video demonstration of chocolate making. | Step One: | ""Shave"" the solid cocoa butter with a sharp knife or grater. Shaving is just really thin slicing that makes the cocoa butter crumble. The finer you can get it, the easier it will be to melt. You can leave it in big chunks if you like, but be prepared to wait a while for it to melt. | Step Two: | Melt the cocoa butter. You can do this by leaving it in a warm place in a heat proof glass bowl by a fire or directly above a hot radiator. It melts at 34C. The idea is to melt it, rather than cook it, maintaining its ""un-cookedness"". If you don't have a gentle heat source then use a hob or stove. | Put the cocoa butter in a small, oven proof, glass bowl and then put that bowl in a pan containing an inch or so of really hot water. Keep the hob/stove burning on a low heat. The heat will then transfer through the bowl, enough to melt the cocoa butter. Give it frequent stirs to assist the melting process. Don't keep it on the heat any longer than it takes to melt it. | The best time to use it is when it has just melted. If it is too hot, then it takes longer to cool down and the coconut sugar will sink to the bottom of the chocolate when added. | Step Three: | Add the coconut sugar to the melting cocoa butter during step two. The melting cocoa butter will help to soften and dissolve the sugar. | Step Four: | When the cocoa butter has finally melted, mix in the cocoa powder and any other remaining ingredients. | Here's the fun part! | Making chocolate hearts: | Place 1 teaspoon of your melted chocolate mixture into each heart-shaped well. When you've put some in every heart, pop them into the freezer whilst you prepare and blend the filling ingredients. | Prepare the filling: | Blend all the filling ingredients together thoroughly and leave on the side whilst you make the chocolate. | Making chocolate hearts continued: | Take your hearts out of the freezer (after about 10 minutes worth of chilling) and place the blueberry filling into each one. This is slightly fiddly. Use a teaspoon and a knife to help the process. | Take about ? a teaspoon of filling and gently dollop it on top of the freshly chilled chocolate hearts. Aim right for the middle of the heart. You'll find that some always hits the edges; simply tease it back with your knife to create a thin gap at the edges (you'll see why next). | Take the rest of your melted chocolate (you should have some left - if not - make some more) and pour 2 or 3 teaspoons over each dollop. Place your tray of hearts straight into the freezer to help your chocolates set. This should be ready in about 15 minutes. You can also set them by leaving in the fridge or any cool place (but allow extra time for setting). | Enjoy!"
811,https://veganuary.com/recipes/sweet-potato-brownie/,Sweet Potato Brownies,2 ? cups stewed and mashed sweet potato | 1 cup coconut sugar or brown sugar | ? cup raw cacao | 4 Tbsp agave or carob nectar | 2 tsp natural vanilla | 250g of dark chocolate [UK 9 oz] | 2 Tbsp of coconut oil or dairy-free margarine | 2 cups of almond flour | 2 Tbsp of baking powder | 1 cup of chopped walnuts (or hazelnuts),"Melt the chocolate and coconut oil together. | Mix the mashed sweet potato with all the other ingredients. | Mix the two together, mixing well, the batter is not as liquid as a normal brownie batter. | Spread out in a 33 x 33 cm (16,5 x 16,5 inch) baking tin and bake at 180C for about 20-25 minutes (test with a skewer, when it comes out clean, the brownies are ready). | Leave to cool before cutting into squares."
1141,https://simple-veganista.com/cinnamon-cranberry-truffles/,CRANBERRY ALMOND ENERGY BITES (NO BAKE),"1 cup raw almonds | 1 cup dried cranberries | 1 cup old fashioned oats | 1/2 cup shredded coconut | 1/2 cup pure maple syrup or 1 cup pitted medjool dates (11-12), chopped | 1 teaspoon vanilla | pinch of salt","Blend: Add ingredients to the bowl of a food processor and blend until mixed well and crumbly, stopping to scrape down the sides as needed. | Chill: Place the mixture in the refrigerator for about 20 minutes to let it stiffen up a bit. | Scoop and roll: Using a 1 tablespoon measuring spoon, scoop up rounded mounds of and roll into 1 inch balls. | Add finishing touch: For a more finished look and to keep the dough from sticking to your fingers, roll the energy bites in shredded coconut or almond flour. | Makes about 20 energy bites. | Store: Keep stored in an airtight container in the refrigerator for up to two weeks. To keep longer, store in the freezer for up to 2-3 months. Let thaw before eating."
